about_faculty,amendments,brand,configuration,course_name,delivery_mode,demo,demo_tour,discounted_price,doubt_solving,duration,highlights,img,kit_contents,mode,offer_type,other_details,please_note,price,ratings,recording,requirements,reviews,runs_on,study_materials,technical_support,total_views,url,validity,video_language
"Ekagrata CA is an educational platform for aspiring chartered accountants, founded by Anshul Agrawal, Nishant Kumar, Jatin Dembla, and Swati Agrawal. It offers courses through live classes, recorded lectures, and pen drive classes. The platform provides a CA-Foundation route for students after 12th grade and a Direct Entry route for those after graduation.",,CA Ekagrata,,"CA Inter Group 1 Fast Track Combo By CA Anshul Agrawal, Jayesh Bhandari and CA Nishant Kumar",Live Batch with Hard Copy,,,"Rs. 15,000.00",Mail,"280 Hrs (150 Lectures),15 days from the date of order",,//zeroinfy.in/cdn/shop/files/CA_Inter_Group_1_Fast_Track_Combo_By_CA_Anshul_Agrawal_Jayesh_Bhandari_and_CA_Nishant_Kumar_1024x1024.jpg?v=1741093826,Video Lectures + Study Materials (7 Books),Live Bacth wtih Google Drive Back up,,,,"Rs. 10,500.00",0.00,Feb 2025,"Desktop / Laptop,- Windows 8 & Above | 3 GB RAM & Above,Mobile,- Android 7.0 & Above | 4 GB RAM & Above | IOS",0,,English,"Mobile - 6262969609,Mail - support@zeroinfy.in",,https://zeroinfy.in/collections/all/products/ca-inter-group-1-fast-track-combo-by-ekagrata-ca,6 Months from the date of activation,Hindi-English Mix
CA Inter Law Exam Oriented By CA Shivangi Agrawal in 110 Hrs. These Lectures are beneficial for May 25 attempts. Study Materials will be provided with the same.,,CA Shivangi Agrawal,"Laptop:,Window versions 10,11 with 32 bit/64 bit i3 processor & above | It does NOT support Windows XP, Windows 7 Home Premium, Windows Vista, Windows 7 starter, Windows 7 Basics, Windows 7 N Edition, Windows 7 KN Edition windows 8, 8.1 & Any Macbook.,Mobile:,Internet required,|,Android version 8.0 & Above | Minimum Ram 1 GB",CA Inter Law Exam Oriented By CA Shivangi Agrawal,"Mobile App with Hard Copy,Google Drive with Hard Copy,Pen Drive with Hard Copy",https://www.youtube.com/@CAShivangiAgrawal/videos,,,WhatsApp,110 Hours (71 Hrs),,//zeroinfy.in/cdn/shop/files/CAInterLawExamOrientedByCAShivangiAgrawal_1024x1024.jpg?v=1739770165,Video Lectures + Study Materials (3 Hard Copy Book),Google Drive | Mobile App | Pen Drive,,,,"Rs. 3,499.00",0.00,Latest,,0,Laptop / Mobile,English,"Mobile -,8970707077,Email at support@zeroinfy.in",Unlimited,https://zeroinfy.in/collections/all/products/ca-inter-law-exam-oriented-by-ca-shivangi-agrawal,,Hindi-English Mix
"CA CMA Inter Direct Tax Fast Track By CA Shirish Vyas for May/Sept 25 & Jun/Dec 25, Jan 26 Students in 100 Hours, 12 months validity and 2 times view. Google Drive, Mobile App Video Lectures available. Hard Copy Books will be provided.",YouTube,CA Shirish Vyas,,CA CMA Inter Direct Tax Fast Track By CA Shirish Vyas,"Mobile App with Hard Copy,Google Drive with Hard Copy",https://youtube.com/@cashirishvyas6659,,"Rs. 5,499.00",WhatsApp & Telegram Group,Approx 100 Hours (Approx 80 lectures (100% COVERAGE)),,//zeroinfy.in/cdn/shop/files/CACMAInterDirectTaxFastTrackByCAShirishVyas_1024x1024.jpg?v=1735801038,Video Lectures + Study Materials (Hard Copy Books),Mobile App | Google Drive,"Unlimited Times / 6 Months,Unlimited Times / 12 Months,1.5 Times / 6 Months,1.8 Times / 12 Months",,,"Rs. 4,499.00",0.00,Latest,"Laptop:,Windows 8 Or 10 | 4 GB RAM & Above,Mobile:,Android version 7.0 or Above | 3 GB Ram or Above | 32 GB Internal Memory or Above",0,Laptop / Mobile,English,Email at support@zeroinfy.in,1.5 / 1.8 / Unlimited times on duration with unlimited clicks,https://zeroinfy.in/collections/all/products/ca-cma-inter-direct-tax-fast-track-by-ca-shirish-vyas,6 / 12 months from the date of activation,Hindi-English Mix
CMA Final SFM and SCM Exam Oriented Combo By CA Sankalp Kanstiya in 150 + 165 Hours. These Lectures are beneficial for June 25 and Dec 25 attempts. Study Materials will be provided with the same.,,CA Sankalp Kanstiya,,CMA Final SFM and SCM Exam Oriented Combo By CA Sankalp Kanstiya,"Google Drive with Hard Copy,Mobile App with Hard Copy,Pen Drive with Hard Copy",,,"Rs. 12,499.00",Mail / WhatsApp,"SFM - 150 Hours (50 lectures),SCM - 160 Hours (65 lectures)",,//zeroinfy.in/cdn/shop/files/CMAFinalSFMandSCMExamOrientedComboByCASankalpKanstiya_1024x1024.jpg?v=1724848320,"Video Lectures + Study Materials (,SFM -,2 Volumes (Optimised) |,SCM -,Vol 1 - Virtual Book, Vol 2 hard copy and MCQ Book)",Google Drive | Mobile App | Pen Drive,,,,"Rs. 9,999.00",0.00,SFM - Dec 2023 | SCM - April 2023,,0,Laptop / Mobile / Tab,English,"Mobile- 8080822123,Email at support@zeroinfy.in",,https://zeroinfy.in/collections/all/products/cma-final-sfm-and-scm-exam-oriented-combo-by-ca-sankalp-kanstiya,6 Months from the date of activation,Hindi-English Mix
"CA Inter Group 2 Exam Oriented Video Lectures Combo By CA Swapnil Patni Classes for May 25 and Sep 25 Students in 335 Hours, 6 months validity and 2 times view. Google Drive Video Lectures available. Hard-copy books will be provided.",,Swapnil Patni Classes,,CA Inter Group 2 Exam Oriented Video Lectures Combo By CA Swapnil Patni Classes,Google Drive,"https://zeroinfy.in/pages/swapnil-patni-classes-terms-conditions,https://www.youtube.com/@swapnil_patni/videos",,"Rs. 20,000.00",Through Whatsapp,FM SM - 130 Hrs | Audit - 75 Hrs | Cost- 130 Hrs,,//zeroinfy.in/cdn/shop/files/CAInterGroup2FastTrackVideoLecturesComboByCASwapnilPatniClasses_1024x1024.jpg?v=1704900654,Video Lectures + Study Materials (8 Hard Copy Books),Google Drive,"Colored Books - RS.9000/- | Digital Books - RS.3000/-,No Book",,,"Rs. 15,000.00",0.00,Latest,"Laptop,: Windows- 8, 8.1, 10 (Only 64 Bit) | 4GB Ram | Processor - i3/i5/i7/AMD | Sharable Memory Above 500MB | Graphics card Minimum 1 GB,Mobile,: Android Version 5 & Above (Expect Some Optional Models) | 2 GB Ram & Above | Sufficient Internal Storage According to lecture's Size",0,Laptop / Mobile,,"Mobile - 8421884218, 7588775887,Email at support@zeroinfy.in",2 views on duration with 10 clicks on each lecture,https://zeroinfy.in/collections/all/products/ca-inter-group-2-fast-track-combo-by-ca-swapnil-patni-classes,6 Months from the date of activation,Hindi-English Mix
"CA Inter Strategic Management (SM) Full Course By Prof Sumit Parashar for Jan 25 and onward Students in 80 Hours, 6 months validity and 2 times view. Google Drive, Pendrive Video Lectures are available. SM Book , Chart Book will be provided.",,Prof Sumit Parashar,,CA Inter Strategic Management (SM) Full Course By Prof Sumit Parashar,"Google Drive with Hard Copy,Pen Drive with Hard Copy",,,,Mail,80 Hrs (30 lectures) (100% Topics Covered),,//zeroinfy.in/cdn/shop/files/CAInterStrategicManagement_SM_FullCourseByProfSumitParashar_1024x1024.jpg?v=1704958406,"Video Lectures + Study Materials (SM Book, Digital Chart Book)",Google Drive | Pen Drive,,,,"Rs. 5,700.00",0.00,Aug-Sept 2023,Windows / Android (Standard),0,Computer / Laptop / Mobile / Tablet,English,Email us at support@zeroinfy.in,2 times on duration,https://zeroinfy.in/collections/all/products/ca-inter-strategic-management-full-course-by-prof-sumit-parashar,6 Months from the date of Activation,Hindi-English Mix (English - 70% & Hindi 30%)
"CA Inter Advanced Accounts and Law Exam Oriented Combo By CA Jai Chawla and CA Shubham Singhal in approx 135 + 90 Hours, Unlimited validity and 1.5 times view. Google Drive, and Pendrive Video Lectures are available. Exam Oriented Hard Copy Books will be provided.",,Vsmart Academy,"Laptop:,Windows,8, 8.1 & 10 |,Intel Core 3, 2.0 GHz |,4GB RAM | Minimum 20% Free space on C Drive,Mobile / Tablet,:,Andriod version 6 & above (Motorola Mobile/Tablet or Rooted,Not,Supported)",CA Inter Advanced Accounts and Law Exam Oriented Combo By CA Jai Chawla and CA Shubham Singhal,"Google Drive with Hard Copy,Pen Drive with Hard Copy",https://www.youtube.com/@vsmartacademy387/videos,,"Rs. 13,999.00",Vsmart QnA App provided with course purchase,"Law - 90 Hrs (Total Approx 45 Lectures),Adv Acc - 135 Hrs (Approx 45 Lectures)",,//zeroinfy.in/cdn/shop/files/CAInterAdvancedAccountsandLawExamOrientedComboByCAJaiChawlaandCAShubhamSinghal_1024x1024.jpg?v=1705414784,"Video Lectures + Study Materials (,Adv Acc,- Adv. Acc. Ki Jai Book (2 Volumes), AS Trump Book (3 Volumes) and Eagle View Chart Book |,Law,- 1 Ultimate Solution Summary Book, 1 Ultimate Solution Question Bank and 1 Ultimate Solution MCQ Booklet)",Google Drive | Pen Drive (includes Software and Video Lecture),,,,"Rs. 8,999.00",0.00,Dec 2023,,0,Laptop / Mobile / Tablet,,"Mobile-7796868686,Email at support@zeroinfy.in","1.5 times Playback Time for every video,Speed Upto 2x FF,Views Extension Not Possible",https://zeroinfy.in/collections/all/products/ca-inter-adv-accounts-law-exam-oriented-jai-chawla-shubham-singhal,Unlimited,Hindi-English Mix
CA Inter Advanced Accounts and GST Combo By CA Jai Chawla and CA Vishal Bhattad in 225 + 125 Hrs. These lectures are beneficial for May 25 and Sep 25 attempts. Study materials will be provided with the same.,,Vsmart Academy,"Google Drive & Pen Drive:,Windows 8, 8.1, 10 11,or any other higher version,Mobile :,Android version 7.0 or Above | 3 GB Ram or Above | 32 GB Internal Memory or Above |,Not Supported On Motorola,Devices",CA Inter Advanced Accounts and GST Combo By CA Jai Chawla and CA Vishal Bhattad,"Live Batch with Hard Copy,Google Drive with Hard Copy,Pen Drive with Hard Copy",,,"Rs. 23,999.00","E-Mail, WhatsApp","Accounts - 225 Hrs (90 Lectures),GST - 125 Hrs (40 Lectures)",,//zeroinfy.in/cdn/shop/files/CAInterAdvancedAccountsandGSTComboByCAJaiChawlaandCAVishalBhattad_1024x1024.jpg?v=1707575549,"Video Lectures + Study Materials (,GST -,Regular Modules-1-2, GST Questionnaire, GST Chart Book & Wall Charts |,Adv Acc -,Adv acc Ki Jai Book, As Concept Book(2 Volumes), Eagle Chartbook, Virtual Handwritten class notes)",Google Drive | Pen Drive,,,,"Rs. 14,999.00",0.00,"Accounts,- Nov 2024 |,IDT,- Jan 2025",,0,Laptop / Mobile,English,"Mobile - 9718972218,Email at support@zeroinfy.in",1.5 times on duration of every lecture,https://zeroinfy.in/collections/all/products/ca-inter-advanced-accounts-and-gst-by-ca-jai-chawla-ca-vishal-bhattad,Unlimited Validity with Free Extension,Hindi-English Mix
"CA Inter Direct Tax (DT) Full Course By CA Nishant Kumar for May 25 and onward Students in 90 hours, 9 months validity and Unlimited times view. Google Drive Video Lectures are available. 1 Hard Copy Book will be provided with the same.",,CA Ekagrata,,CA Inter Direct Tax (DT) Full Course By CA Nishant Kumar,"Google Drive with Hard Copy,Live Batch with Hard Copy",https://www.youtube.com/watch?v=AZpoxmsre2o&list=PLPDwEzd9zZzDeewA5OZvC9AmpAzl3yO3A,,"Rs. 5,850.00",Mail,"Approx 90 Hours,15 days from the date of order (Dispatched within 7 Days)",,//zeroinfy.in/cdn/shop/files/CAInterDirectTax_DT_FullCourseByCANishantKumar_1024x1024.jpg?v=1741093822,Video Lectures + Study Materials (1 Hard Copy Book),Google Drive,,,,"Rs. 4,095.00",0.00,Aug 2024 / March 2025,"Desktop / Laptop,- Windows 8 & Above | 3 GB RAM & Above,Mobile,- Android 7.0 & Above | 4 GB RAM & Above | IOS",0,,English,"Mobile - 6262969609,Mail - support@zeroinfy.in",,https://zeroinfy.in/collections/all/products/ca-inter-direct-tax-dt-full-course-by-ca-nishant-kumar,9 Months from the date of activation,Hindi-English Mix
,If Any Will be Uploaded on Youtube,CS Arjun Chhabra,,CMA Final 2022 Syllabus Law Full Course By CS Arjun Chhabra,"Google Drive with Soft Copy,Pen Drive with Soft Copy,Google Drive with Hard Copy,Pen Drive with Hard Copy",https://www.youtube.com/@LawMaven/videos,,,Arjun Sir's number will be provided for doubt-solving,160 Hours (Approx 50 lectures),,//zeroinfy.in/cdn/shop/files/CMAFinal2022SyllabusLawFullCourseByCSArjunChhabra_1024x1024.jpg?v=1709197866,Video Lectures + Study Materials ( Virtual / Hard Copy Books),Google Drive | Pen Drive,,,,"Rs. 7,000.00",0.00,Latest,"Laptop,: -Windows 8 and Above | RAM 4 GB,Mobile:,- Android 6 and Above Versions | RAM 4 GB",0,Laptop / Mobile,English,"Will be provided with the technical team support number in the same mail in which you will get lectures,Email at support@zeroinfy.in",3 times on duration,https://zeroinfy.in/collections/all/products/cma-final-2022-syllabus-law-full-course-by-cs-arjun-chhabra,Till Exam,Hindi-English Mix
"CA Foundation Law Full Course By CS Arjun Chhabra for May 25 Sep 25 and Jan 26 attempts in approx 140 Hours, 12 months validity and 1.5 times view. Google Drive, Pen Drive Video Lectures are available. Hard Copy Books will be provided.",If Any Will be Uploaded on Youtube,BB Virtuals,,CA Foundation Law Full Course By CS Arjun Chhabra,"Live Batch with Hard Copy,Google Drive with Hard Copy,Mobile App with Hard Copy,Pen Drive with Hard Copy",https://www.youtube.com/watch?v=XJgRL5Ud4KM&list=PLaUTqfiLWyKSEY8AnlXnJinUXHEP4IZ4o,,"Rs. 7,000.00",Mail / WhatsApp,140 Hours (Approx 77 lectures),,//zeroinfy.in/cdn/shop/files/CA_Foundation_Law_Full_Course_By_CS_Arjun_Chhabra_1024x1024.jpg?v=1739336595,"Video Lectures + Study Materials (Question Bank, Concept Book, Chart Book),Note: All past exam questions, MTPs, RTPs and self-drafted questions by Arjun Sir include answers of the same",Google Drive | Pen Drive,,,"Simultaneous login on Android App and Laptop is permitted After you log out from the other device. For Eg. If you have activated in Android and now, you wish to watch the lectures in Laptop, You just have to Log out of the application in Android and Login in the application in Laptop.","Rs. 6,500.00",0.00,"2024 / April 2025 (Date of Commencement 1st April 2025,)","Laptop -,Windows 10,11 or any other higher version.,Mobile -,Android version 7.0 or higher will be required | 3 GB RAM & 32 GB Internal Memory At least will be Required.",0,Laptop / Mobile,English,"Will be provided with the technical team support number in the same mail in which you will get lectures,Email at support@zeroinfy.in",1.5 times on duration,https://zeroinfy.in/collections/all/products/ca-foundation-law-full-course-by-cs-arjun-chhabra,12 Months From the Date of Activation,Hindi-English Mix
"is a Chartered Accountant, a Company Secretary and a Chartered Management Accountant(CIMA). Satish Jalan Sir has more than 12 years of experience in teaching CA Final Cost & CA Inter Cost. He is the founder of Satish Jalan Classes which has been running successfully since 2006.",If Any will be uploaded on Youtube,Zeroinfy Combo Lectures,,"CMA Inter Group 1 Combo 2022 Syllabus By Shivangi Agrawal, Santosh Kumar, Bhanwar Borana, Vishal Bhattad and Satish Jalan",Google Drive with Hard Copy,https://www.youtube.com/@Zeroinfyin/videos,,"Rs. 31,628.00","E-Mail, WhatsApp","DT - 150 Hrs approx (55 Lectures),IDT - 125 Hrs (45 Lectures),Cost - 165 Hours (46 Lectures approx),Law - Approx 165 Hrs (Approx 192 lectures),Fin Acc - 270 Hours (136 Lectures)",,//zeroinfy.in/cdn/shop/files/CMAInterGroup1Combo2022SyllabusByShivangiAgrawal_SantoshKumar_BhanwarBorana_VishalBhattadandSatishJalan_1024x1024.jpg?v=1709968834,Video Lectures + Study Materials (Hard Copy Books),Google Drive,,,,"Rs. 28,466.00",0.00,Latest,,0,Laptop,English,Email at support@zeroinfy.in,"Tax - 1.5 times on duration of every lecture (Upto 2x FF) (3 hrs lecture can be watched for 4.5 Hrs) (Views Can Not Be Increased),Cost - Unlimited,Law - 3 times on duration with unlimited clicks,Fin Acc - Unlimited",https://zeroinfy.in/collections/all/products/cma-inter-group-1-combo-7-2022-syllabus-by-zeroinfy,"DT: 9 months from the date of activation (Extension on chargable basis),IDT: Unlimited Validity with Free Extension (Extension on chargable basis),Cost - Till June 25,Law - Till June 25,Fin Acc - Till June 25",Hindi-English Mix
"CA Inter Financial and Strategic Management (FM SM) Full Course By Jatin Dembla for May 25 and Sep 25 onward Students in approx 150 Hours, 6/9 months validity and Unlimited times view. Google Drive Video Lectures available. Books will be provided.",,CA Ekagrata,,CA Inter Financial and Strategic Management (FM SM) Full Course By Jatin Dembla,"Google Drive with Hard Copy,Live Batch with Hard Copy",https://www.youtube.com/watch?v=e5f7F5PA8wg,,"Rs. 8,000.00",Mail,"Approx 150 Hrs (100% Coverage),15 days from the date of order",,//zeroinfy.in/cdn/shop/files/CAInterFinancialandStrategicManagement_FMSM_FullCourseByJatinDembla_1024x1024.jpg?v=1741093814,Video Lectures + Study Materials (4 Colourful Books),Google Drive,"May-25 (Dec 24),Sep-25 (Dec 24),Sep 25 (July 25 Batch)",,,"Rs. 5,600.00",0.00,Dec 2024 / Jul 2025,"Desktop / Laptop,- Windows 8 & Above | 3 GB RAM & Above,Mobile,- Android 7.0 & Above | 4 GB RAM & Above | IOS",0,,English,"Mobile - 6262969609,Mail - support@zeroinfy.in",,https://zeroinfy.in/collections/all/products/ca-inter-financial-strategic-management-full-course-by-jatin-dembla,9 Months from the date of activation,Hindi-English Mix
"CA Final Audit and Advanced Financial Management (AFM) Full Course By CA Shubham Keswani and Prof Sanjay Saraf for May 25 & onwards Students in 150 + 300 hours, 12/24 months validity and 1.3 / 1.7 times view. Google Drive Video Lectures available. Audit and AFM Books will be provided with the same.",Will be Uploaded on Youtube,Zeroinfy Combo Lectures,,CA Final Audit and Advanced Financial Management (AFM) Full Course Combo By CA Shubham Keswani and Prof Sanjay Saraf,Google Drive with Hard Copy,,,"Rs. 23,100.00","AFM Doubt Solving on Qforum,: Get 100% doubt resolution on our dedicated query resolution platform, Qforum.,Audit Doubt Solving,WhatsApp","AFM - Approx 300 Hrs,(,Main Lectures 100 Classes,of 2 Hours each +,Home Work Q Solving Lectures 100 Classes,of 1 Hour each) |,80 Hrs of Additional Revision Lectures,provided for Platinum and Platinum+ Packages,Audit -,150 hours (Approx 60 lectures)",,//zeroinfy.in/cdn/shop/files/CAFinalAuditandAdvancedFinancialManagement_AFM_FullCourseByCAShubhamKeswaniandProfSanjaySaraf_62094a89-4d7c-4c76-adb5-97b53df5c68a_1024x1024.jpg?v=1721829904,"Video Lectures + Study Materials (,AFM - 7 Hard Copy,Books For (Classwork Problem And Solutions Books, Homework Problems And Solutions Books, Amendment Books, Theory Book, Case Study Oriented Mcqs) |,Audit - 2 Hard Copy Books,(1 Coloured Notes & 1 Question Bank Including MCQ's),See Sample Audit Note Book Here,See Sample Audit Question Book Here,See Sample Audit MCQ Book Here",Google Drive,,,"Simultaneous login on Android App and Laptop is permitted After you log out from the other device. For Eg. If you have activated in Android and now, you wish to watch the lectures in Laptop, You just have to Log out of the application in Android and Login in the application in Laptop.","Rs. 20,790.00",0.00,AFM - June 2024 | Audit - Oct 2024,"Laptop,: Windows 8.1 & above -4GB RAM -Graphics Card Integrated or Dedicated -AMD Ryzen supported - Bluetooth headphones allowed for mobile, tablet, or laptop.,Mobile / Tab,: Android 7.0 & beyond Mobile & Tablet supported,Bluetooth headphone allowed for mobile, tablet or laptop,Internet Connection,Laptop -,Windows 10,11 or any other higher version.,Mobile -,Android version 7.0 or higher will be required | 3 GB RAM & 32 GB Internal Memory At least will be Required.",0,"Laptop / Mobile / Tab (Video Lessons Would Only Run On Ulurn App: Play On Windows Laptop & Android (Ios/mac/desktop Not Supported)),Laptop / Mobile",English,Email - support@zeroinfy.in,"AFM -,1.3 times on duration with unlimited clicks (Upto 2xFF) (Extension Not Possible),Audit -,1.7 times on duration with unlimited clicks",https://zeroinfy.in/collections/all/products/ca-final-audit-and-afm-by-ca-shubham-keswani-and-prof-sanjay-saraf,"AFM - 12 months,from issuing the download link and serial key.,Audit - 24 months,from the date of activation",Hindi-English Mix
"CA Final AFM Full Course By CA Abhishek Zaware for May 25 and Nov 25 and onward Students in 270 Hours, 12 months validity and 2 times view. Google Drive Video Lectures available. 2 Concept Modules, 1 Summary Book and 1 MCQ Book will be provided.",Youtube Video,EKATVAM,"Desktop / Laptop:,Windows,8, 8.1 & 10 |,Pentium Dual core 2.0 GHz and above,|,2,GB RAM | Minimum 20% Free space on C Drive,Mobile / Tablet,:,Android Operating system Version 14.0 minimum or above | Processor : minimum 1.0 GHZ | RAM: 1GB minimum,iOS:,iPhone Requires iOS 12.1 or later | iPad Requires iPadOS 12.1 or later | MAC Laptop Doesn’t Support",CA Final AFM Full Course By CA Abhishek Zaware,"Google Drive with Hard Copy,Pen Drive with Hard Copy",https://www.youtube.com/watch?v=BQluTrH6q8s,,"Rs. 15,000.00",WhatsAapp,270 Hours (150 lectures),,//zeroinfy.in/cdn/shop/files/CA_Final_AFM_Full_Course_By_CA_Abhishek_Zaware_757cd8c1-4c11-4d9f-8725-0dbb7f53fd8c_1024x1024.jpg?v=1741438891,"Video Lectures + Study Materials (2 Concept Books, Summary Book, MCQ Book)",Google Drive,,,,"Rs. 13,500.00",0.00,Feb 2025,,0,Desktop / Laptop / Mobile / Tablet,,Email at support@zeroinfy.in,2 Views on duration,https://zeroinfy.in/collections/all/products/ca-final-afm-full-course-by-ca-abhishek-zaware,12 Months from the date of activation,English
"CA Inter Taxation (Income Tax and GST) Fast Track By CA Shrey Rathi for Sep 24 and Jan 25 Students in Approx 150 Hours, 4/8 months validity and 4 times views. Virtual books will be provided.",,CA Shrey Rathi,,CA Inter Taxation (Income Tax and GST) Fast Track By CA Shrey Rathi,Online without Hard Copy,,,"Rs. 4,999.00",On WhatsApp,150 Hrs (100 Lectures),,//zeroinfy.in/cdn/shop/files/CAInterTaxation_IncomeTaxandGST_FastTrackByCAShreyRathi_1024x1024.jpg?v=1719997476,Video Lectures + Study Materials ( Virtual Books),Online App,"Sep 24,Jan 25 and onward",,,"Rs. 3,078.00",0.00,June 2024,"Laptop / Desktop,: Windows 7 & Above | 2 GB RAM & Above,Mobile:,Any smart phone / macbook / ipad",0,,English,Email us at support@zeroinfy.in,4 times on duration with unlimited clicks,https://zeroinfy.in/collections/all/products/ca-inter-taxation-income-tax-and-gst-fast-track-by-ca-shrey-rathi,4/8 months from the date of activation,Hindi-English Mix
"SFM is India's leading faculty for CA Final AFM/SFM. His expertise in financial markets makes him the preferred choice for candidates. With a wide range of qualifications, he has established himself as a knowledge powerhouse in finance.",Will Be Uploaded On YouTube If Any,Zeroinfy Combo Lectures,,"CA Final FR, AFM and Audit Regular Combo By CA Aakash Kandoi, Prof Sanjay Saraf and CA Shubham Keswani","Mobile App with Hard Copy,Google Drive with Hard Copy",,"https://youtube.com/shorts/Xl0PWFI_22I?feature=share,https://youtube.com/shorts/fLAZHg69IZc?feature=share,https://www.youtube.com/watch?v=60aIb22a74Q,https://youtu.be/qLmJshbwKtg","Rs. 34,098.00","E-Mail, WhatsApp","FR,: 270 Hrs (90 Lectures) |,Audit,: 150 Hours (60 lectures) |,AFM,: Approx 300 Hours (Main Lectures 100 Classes of 2 Hours each + Home Work Q Solving Lectures 100 Classes of 1 Hour each)",,//zeroinfy.in/cdn/shop/files/CAFinalFR_AFMandAuditRegularComboByCAAakashKandoi_ProfSanjaySarafandCAShubhamKeswani_1024x1024.jpg?v=1721041243,"Video Lectures + Study Materials (,FR:,4 Digest Coloured Concept Book & Question Bank covering ICAI Study Material, Past year RTP’s, MTP’s & Suggested Answers,| AFM:,Classwork Problem And Solutions Books, Homework Problems And Solutions Books, Amendment Books, Theory Book, Case Study Oriented Mcqs,| Audit:,Handwritten Coloured Notes Covering ICAI Study Material, Past year RTP’s, MTP’s & Suggested Answer Including Question Bank),See Sample Audit Note Book Here,See Sample Audit Question Book Here,See Sample FR Concept Book Here,See,Sample FR Question Book Here",Google Drive,,,"Simultaneous login on Android App and Laptop is permitted After you log out from the other device. For Eg. If you have activated in Android and now, you wish to watch the lectures in Laptop, You just have to Log out of the application in Android and Login in the application in Laptop.","Rs. 30,688.00",0.00,FR: Aug 2023 | Audit: April 2024 | AFM: 2023,"Laptop -,Windows 10,11 or any other higher version.,Mobile -,Android version 7.0 or higher will be required | 3 GB RAM & 32 GB Internal Memory At least will be Required.,Laptop,: Windows 8.1 & above -4GB RAM -Graphics Card Integrated or Dedicated -AMD Ryzen supported - Bluetooth headphones allowed for mobile, tablet, or laptop.,Mobile / Tab,: Android 7.0 & beyond Mobile & Tablet supported,Bluetooth headphone allowed for mobile, tablet or laptop,Internet Connection",0,"Laptop / Mobile,Laptop / Mobile / Tab (Video Lessons Would Only Run On Ulurn App: Play On Windows Laptop & Android (Ios/mac/desktop Not Supported))",English,Email at support@zeroinfy.in,"FR: 1.8 times on duration every lecture,Audit: 1.7 times on duration every lecture,AFM: 1.3 times on duration",https://zeroinfy.in/collections/all/products/ca-final-fr-afm-audit-by-aakash-kandoi-shubham-keswani-sanjay-saraf,"FR: 12 Months from the date of Activation,Audit: 12 months from the date of activation,AFM: 12 months from the issuance of the download link and serial key,Validity Extension Possible On A Chargeable Basis",Hindi-English Mix
"Completed his CA at the age of 22 years along with his article ship from S.S Kothari Mehta & Co (Top 10 CA Firm In India) and after that, he joined KPMG LLP in the Statutory Audit division. In his first year of working at KPMG, he got an excellence work award.",If Any Will be uploaded on Youtube,CA Kapil Goyal,,CA Inter Audit and Costing and FM SM Fast Track Combo By CA Kapil Goyal and CA Namit Arora,Google Drive with Hard Copy,,,"Rs. 16,000.00",WhatsApp (Sir's Direct watsapp number will be given for subject related query),"Costing - Approx 80 Hours (40 lectures),FM SM - Approx 85 Hours (45 lectures),Audit - Approx 80 Hours (40 lectures)",,//zeroinfy.in/cdn/shop/files/CAInterAuditandCostingandFMSMFastTrackComboByCAKapilGoyalandCANamitArora_1024x1024.jpg?v=1721041664,Video Lectures + Study Material (Hard Copy Books),Google Drive,,,,"Rs. 13,000.00",0.00,Latest,"Laptop / Desktop:,8 & Above | Minimum processor Pentium D | Minimum Ram 2 GB | MAC System doesn’t support,Mobile / Tablets:,Minimum Android Version 7.0 & above |,Minimum Ram 3GB (Recommended 4GB) | Phone should have good performance",0,,,Email at support@zeroinfy.in,2 times on duration,https://zeroinfy.in/collections/all/products/ca-inter-audit-costing-fm-sm-fast-track-by-kapil-goyal-and-namit-arora,"Costing -4 Months,FM SM - 4 Months,Audit - 12 Months",Hindi-English Mix
