Name,Rating,Review,Address,Price,Phone Number,Website,Description,URL
Asia Restaurant,4.5,"(1,339)","Jl. Mega Kuningan Timur I No.E.1,2, RT.5/RW.2 Kuningan, Kuningan Tim., Kecamatan Setiabudi Kota Jakarta Selatan, Daerah Khusus Ibukota, RT.5/RW.2, Kuningan, Kuningan Tim., Kecamatan Setiabudi, Jakarta, Daerah Khusus Ibukota Jakarta 12950",·Rp 250.000+,(021) 25518882,https://www.ritzcarlton.com/en/hotels/indonesia/jakarta/dining/asia,Refined Asian & Western buffet restaurant in the Ritz-Carlton Jakarta with live cooking stations.,"https://www.google.com/maps/place/Asia+Restaurant/@-6.2158244,106.6720345,12z/data=!4m11!1m3!2m2!1sRestaurant+In+Jakarta!6e5!3m6!1s0x2e69f3e4d9b762dd:0x44d71ca2ac547082!8m2!3d-6.2288494!4d106.8273391!15sChVSZXN0YXVyYW50IEluIEpha2FydGFaFyIVcmVzdGF1cmFudCBpbiBqYWthcnRhkgERYnVmZmV0X3Jlc3RhdXJhbnTgAQA!16s%2Fg%2F1tf5b5fq?hl=en&entry=ttu&g_ep=EgoyMDI1MDQxNi4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D"
The Cafe,4.7,"(3,115)","Senayan, Jl. Asia Afrika, RT.1/RW.3, Gelora, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270",·Rp 250.000+,(021) 5747777,https://www.themulia.com/jakarta/jakarta-outlets/the-cafe,"Elegant all-day dining in a hotel lobby, serving cosmopolitan dishes from sushi to Indian curries.","https://www.google.com/maps/place/The+Cafe/@-6.2158244,106.6720345,12z/data=!4m11!1m3!2m2!1sRestaurant+In+Jakarta!6e5!3m6!1s0x2e69f6b452092f99:0x52923bef6359d0f7!8m2!3d-6.2149549!4d106.7970461!15sChVSZXN0YXVyYW50IEluIEpha2FydGFaFyIVcmVzdGF1cmFudCBpbiBqYWthcnRhkgERYnVmZmV0X3Jlc3RhdXJhbnTgAQA!16s%2Fg%2F1tj6lc7s?hl=en&entry=ttu&g_ep=EgoyMDI1MDQxNi4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D"
Cloud Lounge Jakarta (Rooftop),4.5,"(1,087)","The Plaza, Jl. M.H. Thamrin No.28 - 30 Office Tower 49th flr, RT.9/RW.5, Gondangdia, Menteng, Central Jakarta City, Jakarta 10350",·Rp 250.000+,0812-8250-4949,,Pizza & other global eats pair with cocktails at this swanky rooftop bar with panoramic city views.,"https://www.google.com/maps/place/Cloud+Lounge+Jakarta+(Rooftop)/@-6.2158244,106.6720345,12z/data=!4m11!1m3!2m2!1sRestaurant+In+Jakarta!6e5!3m6!1s0x2e69f4213fa91b1d:0x8f490b554b1236d2!8m2!3d-6.1927858!4d106.8227712!15sChVSZXN0YXVyYW50IEluIEpha2FydGFaFyIVcmVzdGF1cmFudCBpbiBqYWthcnRhkgEKcmVzdGF1cmFudOABAA!16s%2Fg%2F11bbrjgb9p?hl=en&entry=ttu&g_ep=EgoyMDI1MDQxNi4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D"
Paulaner Bräuhaus,4.6,"(7,280)","Jl. MH Thamrin No.1, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310",·Rp 250.000+,(021) 23583871,https://www.tablecheck.com/en/kempinski-paulaner-brauhaus/reserve/message?utm_source=website,Restoran Jerman di Mal Grand Indonesia dengan spesialisasi bir nya. Tersedia makanan halal.,"https://www.google.com/maps/place/Paulaner+Br%C3%A4uhaus/@-6.2158244,106.6720345,12z/data=!3m1!5s0x2e69f421ccf212e3:0xd7f546bdafbb8835!4m11!1m3!2m2!1sRestaurant+In+Jakarta!6e5!3m6!1s0x2e69f5d31bed044f:0x104c0c0ef0821b4c!8m2!3d-6.1963902!4d106.8225851!15sChVSZXN0YXVyYW50IEluIEpha2FydGFaFyIVcmVzdGF1cmFudCBpbiBqYWthcnRhkgERZ2VybWFuX3Jlc3RhdXJhbnTgAQA!16s%2Fg%2F1tq_yygq?hl=en&entry=ttu&g_ep=EgoyMDI1MDQxNi4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D"
Al Jazeerah Signature Restaurant & Lounge,4.5,"(7,153)","Jl. Johar No.8, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340",·$$,(021) 31907590,http://restaurant.aljazeerah.id/menu/,Traditional Middle Eastern fare & hookah pipes offered in expansive quarters with outdoor seating.,"https://www.google.com/maps/place/Al+Jazeerah+Signature+Restaurant+%26+Lounge/@-6.2158244,106.6720345,12z/data=!4m11!1m3!2m2!1sRestaurant+In+Jakarta!6e5!3m6!1s0x2e69f43a8f08f22d:0xe832e3443bad97bc!8m2!3d-6.187302!4d106.832089!15sChVSZXN0YXVyYW50IEluIEpha2FydGFaFyIVcmVzdGF1cmFudCBpbiBqYWthcnRhkgEPYXJhYl9yZXN0YXVyYW504AEA!16s%2Fg%2F11c45z21wt?hl=en&entry=ttu&g_ep=EgoyMDI1MDQxNi4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D"
ORO Italian Restaurant Jakarta,4.6,(677),"Jl. Kemang Raya No.2h, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730",·Rp 250.000+,0895-3841-08179,https://orojakarta.com/,,"https://www.google.com/maps/place/ORO+Italian+Restaurant+Jakarta/@-6.2158244,106.6720345,12z/data=!4m11!1m3!2m2!1sRestaurant+In+Jakarta!6e5!3m6!1s0x2e69f13a2560975d:0xd28b6b00ab81f5b3!8m2!3d-6.255722!4d106.810772!15sChVSZXN0YXVyYW50IEluIEpha2FydGFaFyIVcmVzdGF1cmFudCBpbiBqYWthcnRhkgESaXRhbGlhbl9yZXN0YXVyYW504AEA!16s%2Fg%2F11fr9chgv6?hl=en&entry=ttu&g_ep=EgoyMDI1MDQxNi4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D"
ESA Restaurant,4.9,(115),"SCBD Park, Lot. 7 Unit 3A, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12190",·Rp 250.000+,0811-1001-6282,,,"https://www.google.com/maps/place/ESA+Restaurant/@-6.2158244,106.6720345,12z/data=!4m11!1m3!2m2!1sRestaurant+In+Jakarta!6e5!3m6!1s0x2e69f1001b1efebb:0x41aeaae543ddc754!8m2!3d-6.2272493!4d106.810108!15sChVSZXN0YXVyYW50IEluIEpha2FydGFaFyIVcmVzdGF1cmFudCBpbiBqYWthcnRhkgEWZmluZV9kaW5pbmdfcmVzdGF1cmFudOABAA!16s%2Fg%2F11lccwq7pf?hl=en&entry=ttu&g_ep=EgoyMDI1MDQxNi4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D"
Namaaz Dining,4.6,(902),"Jl. Brawijaya VIII No.6A, Pulo, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160",·Rp 250.000+,0811-1557-798,http://www.namaazdining.com/,Koki Andrian Ishak menyajikan set menu masakan Indonesia modern dengan penyajian yg unik & menarik.,"https://www.google.com/maps/place/Namaaz+Dining/@-6.2158244,106.6720345,12z/data=!4m11!1m3!2m2!1sRestaurant+In+Jakarta!6e5!3m6!1s0x2e69f167f132104f:0x564b875e668642b7!8m2!3d-6.249181!4d106.807035!15sChVSZXN0YXVyYW50IEluIEpha2FydGFaFyIVcmVzdGF1cmFudCBpbiBqYWthcnRhkgEVaW5kb25lc2lhbl9yZXN0YXVyYW504AEA!16s%2Fg%2F11b6hxcjhq?hl=en&entry=ttu&g_ep=EgoyMDI1MDQxNi4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D"
DION Senayan Park,4.6,"(1,092)","Jl. Gerbang Pemuda No.3, RT.1/RW.3, Gelora, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270",·Rp 250.000+,0878-1000-9119,,,"https://www.google.com/maps/place/DION+Senayan+Park/@-6.2158244,106.6720345,12z/data=!4m11!1m3!2m2!1sRestaurant+In+Jakarta!6e5!3m6!1s0x2e69f77507036471:0x7aaa103a351a45e8!8m2!3d-6.2116065!4d106.8056097!15sChVSZXN0YXVyYW50IEluIEpha2FydGFaFyIVcmVzdGF1cmFudCBpbiBqYWthcnRhkgEKcmVzdGF1cmFudOABAA!16s%2Fg%2F11s85jfmyj?hl=en&entry=ttu&g_ep=EgoyMDI1MDQxNi4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D"
Ambiente Ristorante,4.5,(651),"Jl. Prajurit KKO Usman dan Harun No.44-48 7, RT.7/RW.1, Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10110",·Rp 250.000+,(021) 23521234,https://business.google.com/create?fp=2203073616077631560&hl=en&authuser=0&gmbsrc=id-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&ppsrc=GMBMI&utm_campaign=id-en-et-ip-z-gmb-s-z-l~mrc%7Cclaimbz%7Cu&utm_source=gmb_mrc81&utm_medium=et&getstarted&lis=0,,"https://www.google.com/maps/place/Ambiente+Ristorante/@-6.2158244,106.6720345,12z/data=!4m11!1m3!2m2!1sRestaurant+In+Jakarta!6e5!3m6!1s0x2e69f4314f846735:0x1e92e3c80c57b048!8m2!3d-6.18166!4d106.83511!15sChVSZXN0YXVyYW50IEluIEpha2FydGFaFyIVcmVzdGF1cmFudCBpbiBqYWthcnRhkgESaXRhbGlhbl9yZXN0YXVyYW504AEA!16s%2Fg%2F1td81903?hl=en&entry=ttu&g_ep=EgoyMDI1MDQxNi4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D"
OSCAR,4.5,(811),"The Plaza Office Tower, Jl. M.H. Thamrin No.28 - 30, RT.9/RW.5, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350",·Rp 250.000+,(021) 29922448,https://altitudejakarta.com/,"Elegant restoran dengan view dari lantai 46, dekor yg romantis menyajikan homemade pasta, tiramisu.","https://www.google.com/maps/place/OSCAR/@-6.2158244,106.6720345,12z/data=!4m11!1m3!2m2!1sRestaurant+In+Jakarta!6e5!3m6!1s0x2e69f4213e62e937:0x85f3bcc6d79b5171!8m2!3d-6.1934204!4d106.8218937!15sChVSZXN0YXVyYW50IEluIEpha2FydGFaFyIVcmVzdGF1cmFudCBpbiBqYWthcnRhkgESaXRhbGlhbl9yZXN0YXVyYW504AEA!16s%2Fg%2F11bbrj6ptg?hl=en&entry=ttu&g_ep=EgoyMDI1MDQxNi4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D"
BISTECCA,4.6,"(1,608)","18 Parc Place SCBD Tower C Ground Floor, Jl. Jend. Sudirman No.52-53, RT.5/RW.3, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12190",·Rp 250.000+,(021) 5151660,https://new.uniongroupjakarta.com/restaurant/bistecca,"Casual chophouse serving classic steakhouse cuts, Italian fare & cocktails in a refined, airy venue.","https://www.google.com/maps/place/BISTECCA/@-6.2158244,106.6720345,12z/data=!4m11!1m3!2m2!1sRestaurant+In+Jakarta!6e5!3m6!1s0x2e69f15a6a07f64f:0x8ea75ae17a022a68!8m2!3d-6.2300566!4d106.8100401!15sChVSZXN0YXVyYW50IEluIEpha2FydGFaFyIVcmVzdGF1cmFudCBpbiBqYWthcnRhkgELc3RlYWtfaG91c2XgAQA!16s%2Fg%2F11cp7w1530?hl=en&entry=ttu&g_ep=EgoyMDI1MDQxNi4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D"
Blue Terrace,4.6,(161),"AYANA Midplaza JAKARTA Lobby Level, Jakarta 10220",·Rp 250.000+,(021) 2514225,https://www.ayana.com/jakarta/ayana-midplaza-jakarta/dining/,,"https://www.google.com/maps/place/Blue+Terrace/@-6.2158244,106.6720345,12z/data=!4m11!1m3!2m2!1sRestaurant+In+Jakarta!6e5!3m6!1s0x2e69f41d38fccb79:0x88925b36ec5557c6!8m2!3d-6.2089895!4d106.819717!15sChVSZXN0YXVyYW50IEluIEpha2FydGFaFyIVcmVzdGF1cmFudCBpbiBqYWthcnRhkgEWaGVhbHRoX2Zvb2RfcmVzdGF1cmFudOABAA!16s%2Fg%2F11gcmhxv0j?hl=en&entry=ttu&g_ep=EgoyMDI1MDQxNi4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D"
Al Nafoura,4.4,"(1,064)","Le Meridien Jakarta, Jl. Jenderal Sudirman No.Kav.18-20 Lt. Dasar, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10220",·Rp 250.000+,(021) 2513131,https://www.alnafourarestaurant.com/,Tempat makan yg menyajikan menu khas Lebanese diiringi lagu arab dan pertunjukan tari perut.,"https://www.google.com/maps/place/Al+Nafoura/@-6.2158244,106.6720345,12z/data=!4m11!1m3!2m2!1sRestaurant+In+Jakarta!6e5!3m6!1s0x2e69f401eeca60a1:0x526db49597c0de1!8m2!3d-6.2128774!4d106.8189731!15sChVSZXN0YXVyYW50IEluIEpha2FydGFaFyIVcmVzdGF1cmFudCBpbiBqYWthcnRhkgETbGViYW5lc2VfcmVzdGF1cmFudOABAA!16s%2Fg%2F1tpx24_9?hl=en&entry=ttu&g_ep=EgoyMDI1MDQxNi4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D"
Dominica Jakarta,4.6,(639),"Jl. HOS. Cokroaminoto No.93, RT.3/RW.5, Menteng, Jakarta, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310",·Rp 250.000+,0811-2812-8128,,,"https://www.google.com/maps/place/Dominica+Jakarta/@-6.2158244,106.6720345,12z/data=!4m11!1m3!2m2!1sRestaurant+In+Jakarta!6e5!3m6!1s0x2e69f5070b099459:0x595c52c830ffb1b6!8m2!3d-6.1984832!4d106.8286193!15sChVSZXN0YXVyYW50IEluIEpha2FydGFaFyIVcmVzdGF1cmFudCBpbiBqYWthcnRhkgESaXRhbGlhbl9yZXN0YXVyYW504AEA!16s%2Fg%2F11ss16fksf?hl=en&entry=ttu&g_ep=EgoyMDI1MDQxNi4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D"
William's,4.5,"(1,641)","Jl. Tulodong Atas No.28, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12110",·Rp 250.000+,0811-9470-028,http://williams.co.id/,"Creative Asian & Western dishes served in an airy, rustic-chic setting with outdoor tables.","https://www.google.com/maps/place/William's/@-6.2158244,106.6720345,12z/data=!3m1!5s0x2e69f150849c73eb:0x75eef6ebf07386fe!4m11!1m3!2m2!1sRestaurant+In+Jakarta!6e5!3m6!1s0x2e69f15bae8d3b47:0xe9f51c1c256bcb17!8m2!3d-6.2309175!4d106.8095237!15sChVSZXN0YXVyYW50IEluIEpha2FydGFaFyIVcmVzdGF1cmFudCBpbiBqYWthcnRhkgESd2VzdGVybl9yZXN0YXVyYW504AEA!16s%2Fg%2F11fxxsgb92?hl=en&entry=ttu&g_ep=EgoyMDI1MDQxNi4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D"
1928 Restaurant,4.5,(147),"The Hermitage, a Tribute Portfolio Hotel, Jakarta, Jl. Cilacap No.1, Kec. Menteng, Daerah Khusus Ibukota Jakarta 10310",·Rp 250.000+,(021) 31926888,https://www.marriott.com/en-us/hotels/jkttx-the-hermitage-a-tribute-portfolio-hotel-jakarta/dining/,"Elevated global fare dispensed in posh, light-filled surrounds at the Hermitage Hotel.","https://www.google.com/maps/place/1928+Restaurant/@-6.2158244,106.6720345,12z/data=!4m11!1m3!2m2!1sRestaurant+In+Jakarta!6e5!3m6!1s0x2e69f415a68701ed:0x4c3138cb07aeb2d!8m2!3d-6.1983663!4d106.838131!15sChVSZXN0YXVyYW50IEluIEpha2FydGFaFyIVcmVzdGF1cmFudCBpbiBqYWthcnRhkgEKcmVzdGF1cmFudOABAA!16s%2Fg%2F11dynv5myy?hl=en&entry=ttu&g_ep=EgoyMDI1MDQxNi4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D"
TOMA Brasserie,4.7,(717),"Jl. Jenderal Sudirman No.Kav 22-23, Kuningan, Karet, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12920",·Rp 250.000+,0821-1332-4909,http://www.instagram.com/toma.braserrie,,"https://www.google.com/maps/place/TOMA+Brasserie/@-6.2158244,106.6720345,12z/data=!4m11!1m3!2m2!1sRestaurant+In+Jakarta!6e5!3m6!1s0x2e69f5da97d9d7ab:0x7bfdc9d2686cd36a!8m2!3d-6.2111195!4d106.8212255!15sChVSZXN0YXVyYW50IEluIEpha2FydGFaFyIVcmVzdGF1cmFudCBpbiBqYWthcnRhkgEUcmVzdGF1cmFudF9icmFzc2VyaWXgAQA!16s%2Fg%2F11s8hr0h_h?hl=en&entry=ttu&g_ep=EgoyMDI1MDQxNi4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D"
Edogin,4.6,"(1,223)","Jl. Asia Afrika, Senayan, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270",·Rp 250.000+,(021) 5753274,https://www.themulia.com/jakarta/jakarta-outlets/edogin,,"https://www.google.com/maps/place/Edogin/@-6.2158244,106.6720345,12z/data=!4m11!1m3!2m2!1sRestaurant+In+Jakarta!6e5!3m6!1s0x2e69f6b454166631:0x7a6f43dc1d1d2214!8m2!3d-6.2151383!4d106.7970056!15sChVSZXN0YXVyYW50IEluIEpha2FydGFaFyIVcmVzdGF1cmFudCBpbiBqYWthcnRhkgETamFwYW5lc2VfcmVzdGF1cmFudOABAA!16s%2Fg%2F1pv1f5d4q?hl=en&entry=ttu&g_ep=EgoyMDI1MDQxNi4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D"
